               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.1297,              1.1753,              1.3599,             0.81555,             0.73709,             0.80075,             0.54655,              1.1227,             0.99863,              1.4276,            0.006436,            0.006436,            0.006436
                  38,              1.1407,              1.1761,              1.3564,             0.78716,             0.73871,              0.7969,             0.54836,              1.1296,             0.98791,              1.4312,            0.006337,            0.006337,            0.006337
                  39,              1.1197,               1.148,              1.3439,             0.80844,               0.734,             0.80191,             0.54754,              1.1462,               0.998,              1.4375,            0.006238,            0.006238,            0.006238
                  40,              1.1142,              1.1501,              1.3458,             0.78812,             0.73789,             0.79863,             0.55172,              1.1204,             0.98236,              1.4257,            0.006139,            0.006139,            0.006139
                  41,              1.1219,              1.1519,              1.3471,             0.80549,             0.73875,             0.80786,             0.55614,              1.1292,             0.96732,              1.4275,             0.00604,             0.00604,             0.00604
                  42,              1.1172,              1.1424,              1.3458,             0.80089,              0.7488,             0.81019,             0.56108,              1.1019,             0.95046,              1.4111,            0.005941,            0.005941,            0.005941
                  43,               1.106,              1.1159,              1.3276,             0.80197,             0.74453,             0.80793,             0.55735,              1.1249,             0.95868,              1.4216,            0.005842,            0.005842,            0.005842
                  44,              1.1027,              1.1034,              1.3223,             0.82985,             0.73521,             0.81396,             0.56393,              1.1235,              0.9351,              1.4065,            0.005743,            0.005743,            0.005743
                  45,              1.1121,              1.1114,              1.3318,             0.81134,             0.74604,             0.80813,             0.55421,              1.1313,             0.95097,              1.4317,            0.005644,            0.005644,            0.005644
                  46,              1.0967,              1.0961,              1.3262,             0.81455,             0.74748,             0.81401,             0.56309,              1.1256,             0.94536,              1.4303,            0.005545,            0.005545,            0.005545
                  47,              1.0994,              1.0906,              1.3332,             0.79482,             0.74995,             0.81158,             0.56163,              1.1198,             0.93426,               1.417,            0.005446,            0.005446,            0.005446
                  48,              1.0845,              1.0792,              1.3201,             0.81326,             0.73683,             0.81384,             0.56903,              1.1124,              0.9185,              1.4097,            0.005347,            0.005347,            0.005347
                  49,              1.0903,              1.0846,              1.3263,             0.81539,             0.75994,             0.81954,             0.56799,              1.1284,              0.9299,              1.4269,            0.005248,            0.005248,            0.005248
                  50,              1.0803,              1.0591,              1.3184,             0.83161,             0.75293,             0.82011,             0.57696,              1.1212,             0.92654,              1.4177,            0.005149,            0.005149,            0.005149
                  51,              1.0656,              1.0465,              1.3085,             0.81906,             0.75581,             0.82675,             0.58244,               1.106,             0.90879,              1.4074,             0.00505,             0.00505,             0.00505
                  52,              1.0763,              1.0189,              1.3016,              0.8287,             0.75651,             0.82384,             0.57801,              1.1105,             0.89861,               1.412,            0.004951,            0.004951,            0.004951
                  53,              1.0632,              1.0254,              1.3003,             0.81975,             0.76428,             0.82548,             0.57752,              1.1004,             0.90619,              1.3999,            0.004852,            0.004852,            0.004852
                  54,              1.0693,              1.0348,              1.3031,             0.83187,             0.77193,             0.83181,              0.5808,              1.1066,             0.90495,              1.4034,            0.004753,            0.004753,            0.004753
                  55,               1.057,               1.008,              1.3036,             0.83149,             0.76783,             0.83471,             0.58718,              1.1132,             0.90051,              1.4131,            0.004654,            0.004654,            0.004654
                  56,              1.0631,               1.015,              1.3018,             0.83482,             0.76674,             0.82856,             0.58372,              1.1075,             0.89369,              1.4029,            0.004555,            0.004555,            0.004555
